# FileTable database for WWF No Mercy (July 2000 prototype)
0002=AkiText;Default Character Names
0188=Binary;Wrestler Params 0403 (Scotty)
0189=Binary;Wrestler Moveset 0403 (Scotty)
018A=Binary;Wrestler Params 0404 (Edge)
018B=Binary;Wrestler Moveset 0404 (Edge)
018C=Binary;Wrestler Params 0405 (Christian)
018D=Binary;Wrestler Moveset 0405 (Christian)
018E=Binary;Wrestler Params 0406 (Matt)
018F=Binary;Wrestler Moveset 0406 (Matt)
0190=Binary;Wrestler Params 0407 (Jeff)
0191=Binary;Wrestler Moveset 0407 (Jeff)
0192=Binary;Wrestler Params 0501 (Faarooq)
0193=Binary;Wrestler Moveset 0501 (Faarooq)
0194=Binary;Wrestler Params 0502 (Bradshaw)
0195=Binary;Wrestler Moveset 0502 (Bradshaw)
0196=Binary;Wrestler Params 0503 (D-Von)
0197=Binary;Wrestler Moveset 0503 (D-Von)
0198=Binary;Wrestler Params 0504 (Buh Buh)
0199=Binary;Wrestler Moveset 0504 (Buh Buh)
019A=Binary;Wrestler Params 0505 (Hardcore)
019B=Binary;Wrestler Moveset 0505 (Hardcore)
019C=Binary;Wrestler Params 0506 (Crash)
019D=Binary;Wrestler Moveset 0506 (Crash)
019E=Binary;Wrestler Params 0507 (Bossman)
019F=Binary;Wrestler Moveset 0507 (Bossman)
01A0=Binary;Wrestler Params 0508 (Albert)
01A1=Binary;Wrestler Moveset 0508 (Albert)
01A2=Binary;Wrestler Params 0601 (Al)
01A3=Binary;Wrestler Moveset 0601 (Al)
01A4=Binary;Wrestler Params 0602 (Blackman)
01A5=Binary;Wrestler Moveset 0602 (Blackman)
01A6=Binary;Wrestler Params 0603 (Bulldog)
01A7=Binary;Wrestler Moveset 0603 (Bulldog)
01A8=Binary;Wrestler Params 0604 (Mark Henry)
01A9=Binary;Wrestler Moveset 0604 (Mark Henry)
01AA=Binary;Wrestler Params 0605 (Viscera)
01AB=Binary;Wrestler Moveset 0605 (Viscera)
01AC=Binary;Wrestler Params 0606 (Andre)
01AD=Binary;Wrestler Moveset 0606 (Andre)
01AE=Binary;Wrestler Params?
01AF=Binary;Wrestler Moveset?
01B0=Binary;Wrestler Params 0608 (Rios)
01B1=Binary;Wrestler Moveset 0608 (Rios)
01B2=Binary;Wrestler Params 0701 (Chyna)
01B3=Binary;Wrestler Moveset 0701 (Chyna)
01B4=Binary;Wrestler Params 0702 (Stephanie)
01B5=Binary;Wrestler Moveset 0702 (Stephanie)
01B6=Binary;Wrestler Params 0703 (Tori)
01B7=Binary;Wrestler Moveset 0703 (Tori)
01B8=Binary;Wrestler Params 0704 (Terri/Debra)
01B9=Binary;Wrestler Moveset 0704 (Terri/Debra)
01BA=Binary;Wrestler Params?
01BB=Binary;Wrestler Moveset?
01BC=Binary;Wrestler Params 0706 (Lita)
01BD=Binary;Wrestler Moveset 0706 (Lita)
01BE=Binary;Wrestler Params 0801 (Ivory/Jacqueline)
01BF=Binary;Wrestler Moveset 0801 (Ivory/Jacqueline)
01C0=Binary;
01C1=Binary;
01C2=Binary;
01C3=Binary;
01C4=Binary;Wrestler Params 0804 (Mae Young/Moolah)
01C5=Binary;Wrestler Moveset 0804 (Mae Young/Moolah)
01C6=Binary;
01C7=Binary;
01C8=Binary;Wrestler Params 0901 (Vince)
01C9=Binary;Wrestler Moveset 0901 (Vince)
01CA=Binary;Wrestler Params 0902 (Shane)
01CB=Binary;Wrestler Moveset 0902 (Shane)
01CC=Binary;
01CD=Binary;
01CE=Binary;Wrestler Params 0904 (Jim Ross/King)
01CF=Binary;Wrestler Moveset 0904 (Jim Ross/King)
01D0=Binary;Wrestler Params 0903 (Bearer/Finkel)
01D1=Binary;Wrestler Moveset 0903 (Bearer/Finkel)
01D2=Binary;Wrestler Params 0607 (Bull Buchanan)
01D3=Binary;Wrestler Moveset 0607 (Bull Buchanan)
01D4=Binary;Wrestler Params 0609 (Taka)
01D5=Binary;Wrestler Moveset 0609 (Taka)
01D6=Binary;Wrestler Params 0805 (Ho)
01D7=Binary;Wrestler Moveset 0805 (Ho)
01D8=Binary;Wrestler Params 0705 (Trish)
01D9=Binary;Wrestler Moveset 0705 (Trish)
01DA=Binary;Wrestler Params 0803 (Kat/Lilian Garcia)
01DB=Binary;Wrestler Moveset 0803 (Kat/Lilian Garcia)
01DC=Binary;Wrestler Params 0802 (Linda)
01DD=Binary;Wrestler Moveset 0802 (Linda)
01DE=Binary;Default CAW Params
01DF=Binary;Default CAW Moveset
3D36=Ci4Palette;Change Stable
3D37=Ci4Texture;Change Stable|p:3D36
3E6F=Ci4Palette;
3E70=Ci4Texture;|p:3E6F
3E71=Ci4Palette;
3E72=Ci4Texture;|p:3E71
